ID,Title,Content,Excerpt,Date,"Post Type",Permalink,URL,Title,Caption,Description,"Alt Text",URL,_was_shipping_method,_was_shipping_method_conditions,_priority,_dp_original,slide_template,_vc_post_settings,category_sticky_post,sbg_selected_sidebar,sbg_selected_sidebar_replacement,_um_custom_access_settings,_um_accessible,_um_access_redirect2,_um_access_roles,_um_access_redirect,yst_prominent_words_version,Status,Author,Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date"
18477,"zone1 (Рязань)",,,2016-03-18,was,https://euroroaming.ru/was/zone1-ryazan/,,,,,,,"a:6:{s:14:""shipping_title"";s:39:""Рязанская обл, Россия"";s:13:""shipping_cost"";s:3:""520"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:11:""not_taxable"";}","a:1:{i:1;a:3:{i:1998596183;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1626916821;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:28:""RU_Рязанская обл"";}i:2033857824;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""=="";s:5:""value"";s:12:""Рязань"";}}}",1,3016,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone1-ryazan,,,0,0,0,open,open,2016-03-18
18478,"zone1 (Рязанская область, Россия)",,,2016-03-18,was,https://euroroaming.ru/was/zone1-ryazanskaya-oblast-rossiya/,,,,,,,"a:6:{s:14:""shipping_title"";s:39:""Рязанская обл, Россия"";s:13:""shipping_cost"";s:3:""780"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:7:""taxable"";}","a:1:{i:1;a:3:{i:490500617;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1783138048;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:28:""RU_Рязанская обл"";}i:488346167;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""!="";s:5:""value"";s:12:""Рязань"";}}}",1,3017,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone1-ryazanskaya-oblast-rossiya,,,0,0,0,open,open,2016-03-18
18479,"zone1 (Тверь)",,,2016-03-18,was,https://euroroaming.ru/was/zone1-tver/,,,,,,,"a:6:{s:14:""shipping_title"";s:37:""Тверская обл, Россия"";s:13:""shipping_cost"";s:3:""520"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:11:""not_taxable"";}","a:1:{i:1;a:3:{i:1998596183;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1626916821;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:26:""RU_Тверская обл"";}i:2033857824;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""=="";s:5:""value"";s:10:""Тверь"";}}}",1,3020,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone1-tver,,,0,0,0,open,open,2016-03-18
18480,"zone1 (Тверская область, Россия)",,,2016-03-18,was,https://euroroaming.ru/was/zone1-tverskaya-oblast-rossiya/,,,,,,,"a:6:{s:14:""shipping_title"";s:37:""Тверская обл, Россия"";s:13:""shipping_cost"";s:3:""780"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:7:""taxable"";}","a:1:{i:1;a:3:{i:490500617;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1783138048;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:26:""RU_Тверская обл"";}i:488346167;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""!="";s:5:""value"";s:10:""Тверь"";}}}",1,3021,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone1-tverskaya-oblast-rossiya,,,0,0,0,open,open,2016-03-18
18481,"zone2 (Брянск)",,,2016-03-18,was,https://euroroaming.ru/was/zone2-bryansk/,,,,,,,"a:6:{s:14:""shipping_title"";s:45:""Белгородская обл, Россия"";s:13:""shipping_cost"";s:3:""620"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:11:""not_taxable"";}","a:1:{i:1;a:3:{i:1998596183;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1626916821;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:34:""RU_Белгородская обл"";}i:2033857824;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""=="";s:5:""value"";s:12:""Брянск"";}}}",1,2707,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone2-bryansk,,,0,0,0,open,open,2016-03-18
18482,"zone2 (Белгородская область)",,,2016-03-18,was,https://euroroaming.ru/was/zone2-belgorodskaya-oblast/,,,,,,,"a:6:{s:14:""shipping_title"";s:45:""Белгородская обл, Россия"";s:13:""shipping_cost"";s:3:""930"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:11:""not_taxable"";}","a:1:{i:1;a:3:{i:1998596183;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1626916821;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:34:""RU_Белгородская обл"";}i:2033857824;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""!="";s:5:""value"";s:16:""Белгород"";}}}",1,3037,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone2-belgorodskaya-oblast,,,0,0,0,open,open,2016-03-18
18483,"zone2 (Брянская область)",,,2016-03-18,was,https://euroroaming.ru/was/zone2-bryanskaya-oblast/,,,,,,,"a:6:{s:14:""shipping_title"";s:45:""Белгородская обл, Россия"";s:13:""shipping_cost"";s:3:""930"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:11:""not_taxable"";}","a:1:{i:1;a:3:{i:1998596183;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1626916821;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:26:""RU_Брянская обл"";}i:2033857824;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""!="";s:5:""value"";s:12:""Брянск"";}}}",1,3038,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",0,,,,,,,,,publish,312,zone2-bryanskaya-oblast,,,0,0,0,open,open,2016-10-05
18484,"zone2 (Белгород)",,,2016-03-18,was,https://euroroaming.ru/was/zone2-belgorod/,,,,,,,"a:6:{s:14:""shipping_title"";s:45:""Белгородская обл, Россия"";s:13:""shipping_cost"";s:3:""650"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:11:""not_taxable"";}","a:1:{i:1;a:3:{i:1998596183;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1626916821;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:34:""RU_Белгородская обл"";}i:2033857824;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""=="";s:5:""value"";s:16:""Белгород"";}}}",1,3038,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",0,,,,,,,,,publish,312,zone2-belgorod,,,0,0,0,open,open,2016-10-05
18485,"zone2 (Великий Новгород)",,,2016-03-18,was,https://euroroaming.ru/was/zone2-velikij-novgorod/,,,,,,,"a:6:{s:14:""shipping_title"";s:45:""Новгородская обл, Россия"";s:13:""shipping_cost"";s:3:""620"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:11:""not_taxable"";}","a:2:{i:1;a:3:{i:1998596183;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1626916821;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:34:""RU_Новгородская обл"";}i:2033857824;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""=="";s:5:""value"";s:31:""Великий Новгород"";}}i:2;a:3:{i:729477124;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1630649577;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:34:""RU_Новгородская обл"";}i:83716657;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""=="";s:5:""value"";s:16:""Новгород"";}}}",1,3039,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone2-velikij-novgorod,,,0,0,0,open,open,2016-03-18
18486,"zone2 (Новгородская область)",,,2016-03-18,was,https://euroroaming.ru/was/zone2-novgorodskaya-oblast/,,,,,,,"a:6:{s:14:""shipping_title"";s:45:""Новгородская обл, Россия"";s:13:""shipping_cost"";s:3:""930"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:11:""not_taxable"";}","a:2:{i:1;a:3:{i:1998596183;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1626916821;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:34:""RU_Новгородская обл"";}i:2033857824;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""!="";s:5:""value"";s:31:""Великий Новгород"";}}i:2;a:3:{i:656653603;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:139117927;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:34:""RU_Новгородская обл"";}i:1995379175;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""!="";s:5:""value"";s:16:""Новгород"";}}}",1,3040,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone2-novgorodskaya-oblast,,,0,0,0,open,open,2016-03-18
18487,"zone2 (Вологда)",,,2016-03-18,was,https://euroroaming.ru/was/zone2-vologda/,,,,,,,"a:6:{s:14:""shipping_title"";s:43:""Вологодская обл, Россия"";s:13:""shipping_cost"";s:3:""620"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:11:""not_taxable"";}","a:1:{i:1;a:3:{i:1998596183;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1626916821;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:32:""RU_Вологодская обл"";}i:2033857824;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""=="";s:5:""value"";s:14:""Вологда"";}}}",1,3041,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone2-vologda,,,0,0,0,open,open,2016-03-18
18488,"zone2 (Вологодская область)",,,2016-03-18,was,https://euroroaming.ru/was/zone2-vologodskaya-oblast/,,,,,,,"a:6:{s:14:""shipping_title"";s:43:""Вологодская обл, Россия"";s:13:""shipping_cost"";s:3:""930"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:11:""not_taxable"";}","a:1:{i:1;a:3:{i:1998596183;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1626916821;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:32:""RU_Вологодская обл"";}i:2033857824;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""!="";s:5:""value"";s:14:""Вологда"";}}}",1,3042,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone2-vologodskaya-oblast,,,0,0,0,open,open,2016-03-18
18489,"zone2 (Воронеж)",,,2016-03-18,was,https://euroroaming.ru/was/zone2-voronezh/,,,,,,,"a:6:{s:14:""shipping_title"";s:43:""Воронежская обл, Россия"";s:13:""shipping_cost"";s:3:""620"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:11:""not_taxable"";}","a:1:{i:1;a:3:{i:1998596183;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1626916821;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:32:""RU_Воронежская обл"";}i:2033857824;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""=="";s:5:""value"";s:14:""Воронеж"";}}}",1,3043,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone2-voronezh,,,0,0,0,open,open,2016-03-18
18490,"zone2 (Воронежская область)",,,2016-03-18,was,https://euroroaming.ru/was/zone2-voronezhskaya-oblast/,,,,,,,"a:6:{s:14:""shipping_title"";s:43:""Воронежская обл, Россия"";s:13:""shipping_cost"";s:3:""930"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:11:""not_taxable"";}","a:1:{i:1;a:3:{i:1998596183;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1626916821;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:32:""RU_Воронежская обл"";}i:2033857824;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""!="";s:5:""value"";s:14:""Воронеж"";}}}",1,3045,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone2-voronezhskaya-oblast,,,0,0,0,open,open,2016-03-18
18491,"zone2 (Курская область)",,,2016-03-18,was,https://euroroaming.ru/was/zone2-kurskaya-oblast/,,,,,,,"a:6:{s:14:""shipping_title"";s:35:""Курская обл, Россия"";s:13:""shipping_cost"";s:3:""930"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:11:""not_taxable"";}","a:1:{i:1;a:3:{i:1998596183;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1626916821;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:24:""RU_Курская обл"";}i:2033857824;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""!="";s:5:""value"";s:10:""Курск"";}}}",1,3046,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone2-kurskaya-oblast,,,0,0,0,open,open,2016-03-18
18492,"zone2 (Курск)",,,2016-03-18,was,https://euroroaming.ru/was/zone2-kursk/,,,,,,,"a:6:{s:14:""shipping_title"";s:35:""Курская обл, Россия"";s:13:""shipping_cost"";s:3:""620"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:11:""not_taxable"";}","a:1:{i:1;a:3:{i:1998596183;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1626916821;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:24:""RU_Курская обл"";}i:2033857824;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""=="";s:5:""value"";s:10:""Курск"";}}}",1,3047,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone2-kursk,,,0,0,0,open,open,2016-03-18
